original_glrlm_RunLengthNonUniformity,original_glszm_GrayLevelVariance,histopathology
92.299303126479,7.58448753462604,SQUAMOUS
1993.45941163839,5.12055363321799,OTHER
1083.88369668794,7.1396484375,OTHER
6263.67918239669,4.04931357147736,SQUAMOUS
2363.5568221406,4.38957475994513,SQUAMOUS
4125.14842311021,4.85358636873788,SQUAMOUS
2457.42914740605,4.96778546129195,OTHER
829.752103527367,6.93639053254438,SQUAMOUS
3565.28989733587,4.77427783422848,OTHER
6100.89102088264,4.52764635265871,SQUAMOUS
1953.59304779077,7.12326388888889,SQUAMOUS
77.6287026512847,8.91836734693877,OTHER
1589.78690393494,4.544375,SQUAMOUS
2488.02503774528,6.40445982314494,SQUAMOUS
3275.9822034594,3.73931972789116,SQUAMOUS
4521.39051215073,8.114990234375,SQUAMOUS
558.880156935026,4.26608977825852,SQUAMOUS
1321.48168717886,6.12534626038781,SQUAMOUS
1071.6232424893,6.50666666666667,SQUAMOUS
605.068153367272,5.279000594884,SQUAMOUS
2612.5240489042,5.41343490304709,OTHER
367.028279065046,6.3904,OTHER
6942.98304647598,3.92864265927978,SQUAMOUS
2864.69222865057,4.47518266565886,SQUAMOUS
4331.49470725499,3.70387755102041,OTHER
2920.52203602972,5.31683873264507,SQUAMOUS
7017.73876745927,4.48454963839579,SQUAMOUS
